"기간","날짜","지점","품목","수량","매출원"
2025-09~10,2025-10-20,"EM월계점","데친 문어",24,218107
2025-09~10,2025-10-21,"EM성남점","데친 문어",33,312370
2025-09~10,2025-10-21,"EM월계점","데친 문어",29,265733
2025-09~10,2025-10-23,"EM성남점","데친 문어",40,352267
2025-09~10,2025-10-23,"EM월계점","데친 문어",33,307972
2025-09~10,2025-10-24,"EM성남점","데친 문어",60,540487
2025-09~10,2025-10-24,"EM월계점","데친 문어",53,476078
2025-09~10,2025-10-25,"EM성남점","데친 문어",131,1219485
2025-09~10,2025-10-25,"EM월계점","데친 문어",82,810823
2025-09~10,2025-10-27,"EMF고덕점","데친 문어",3,50828
2025-09~10,2025-10-27,"EM성남점","데친 문어",43,402420
2025-09~10,2025-10-27,"EM월계점","데친 문어",30,271682
2025-09~10,2025-10-28,"EM성남점","데친 문어",31,294828
2025-09~10,2025-10-28,"EM월계점","데친 문어",29,274930
2025-09~10,2025-10-29,"EMF고덕점","데친 문어",2,26726
2025-09~10,2025-10-29,"EM성남점","데친 문어",32,276279
2025-09~10,2025-10-29,"EM월계점","데친 문어",25,214573
2025-09~10,2025-10-30,"EMF고덕점","데친 문어",1,16011
2025-09~10,2025-10-30,"EM성남점","데친 문어",27,264237
2025-09~10,2025-10-30,"EM월계점","데친 문어",62,546276
2025-09~10,2025-10-31,"EMF고덕점","데친 문어",2,33423
2025-09~10,2025-10-31,"EM성남점","데친 문어",30,274699
2025-09~10,2025-10-31,"EM월계점","데친 문어",73,721314
2026-01~08-29,2026-01-01,"EMF고덕점","데친 문어",4,92293
2026-01~08-29,2026-01-02,"EMF고덕점","데친 문어",1,20471
2026-01~08-29,2026-01-05,STORE_CODE:1142,"데친 문어",1,20560
2026-01~08-29,2026-01-06,"EMF고덕점","데친 문어",3,55762
2026-01~08-29,2026-01-08,"EM죽전점","갑오징어무침",37,332393
2026-01~08-29,2026-01-08,"EM죽전점","데친 문어",39,339159
2026-01~08-29,2026-01-09,"EMF고덕점","데친 문어",1,20689
2026-01~08-29,2026-01-09,"EM죽전점","갑오징어무침",37,377324
2026-01~08-29,2026-01-09,"EM죽전점","데친 문어",83,910154
2026-01~08-29,2026-01-10,"EMF고덕점","데친 문어",3,62468
2026-01~08-29,2026-01-10,"EM죽전점","갑오징어무침",38,359915
2026-01~08-29,2026-01-10,"EM죽전점","데친 문어",138,1671516
2026-01~08-29,2026-01-12,"EMF고덕점","데친 문어",1,27442
2026-01~08-29,2026-01-12,"EM죽전점","갑오징어무침",17,172034
2026-01~08-29,2026-01-12,"EM죽전점","데친 문어",44,482865
2026-01~08-29,2026-01-13,"EMF고덕점","데친 문어",1,18805
2026-01~08-29,2026-01-13,"EM죽전점","갑오징어무침",10,94114
2026-01~08-29,2026-01-13,"EM죽전점","데친 문어",56,610156
2026-01~08-29,2026-01-14,"EM죽전점","갑오징어무침",33,308324
2026-01~08-29,2026-01-14,"EM죽전점","데친 문어",52,546949
2026-01~08-29,2026-01-15,"EM죽전점","갑오징어무침",17,144241
2026-01~08-29,2026-01-15,"EM죽전점","데친 문어",49,516488
2026-01~08-29,2026-01-16,"EMF고덕점","데친 문어",1,16446
2026-01~08-29,2026-01-16,"EM죽전점","갑오징어무침",18,188971
2026-01~08-29,2026-01-16,"EM죽전점","데친 문어",76,886757
2026-01~08-29,2026-01-17,"EMF고덕점","데친 문어",2,44814
2026-01~08-29,2026-01-17,"EM죽전점","갑오징어무침",19,186618
2026-01~08-29,2026-01-17,"EM죽전점","데친 문어",111,1272444
2026-01~08-29,2026-01-18,"EM죽전점","갑오징어무침",23,224234
2026-01~08-29,2026-01-18,"EM죽전점","데친 문어",97,1082653
2026-01~08-29,2026-01-19,"EM죽전점","갑오징어무침",8,74646
2026-01~08-29,2026-01-19,"EM죽전점","데친 문어",45,435976
2026-01~08-29,2026-01-20,"EM죽전점","갑오징어무침",3,28029
2026-01~08-29,2026-01-20,"EM죽전점","데친 문어",46,442487
2026-01~08-29,2026-01-21,"EM죽전점","갑오징어무침",19,161003
2026-01~08-29,2026-01-21,"EM죽전점","데친 문어",50,545726
2026-01~08-29,2026-01-22,"EMF고덕점","데친 문어",1,15617
2026-01~08-29,2026-01-22,"EM죽전점","갑오징어무침",10,81085
2026-01~08-29,2026-01-22,"EM죽전점","데친 문어",45,439693
2026-01~08-29,2026-01-23,"EM죽전점","갑오징어무침",24,235064
2026-01~08-29,2026-01-23,"EM죽전점","데친 문어",69,749980
2026-01~08-29,2026-01-24,"EMF고덕점","데친 문어",3,74019
2026-01~08-29,2026-01-24,"EM죽전점","갑오징어무침",37,389768
2026-01~08-29,2026-01-24,"EM죽전점","데친 문어",123,1382284
2026-01~08-29,2026-01-26,"EMF고덕점","데친 문어",1,14893
2026-01~08-29,2026-01-26,"EM죽전점","갑오징어무침",19,158806
2026-01~08-29,2026-01-26,"EM죽전점","데친 문어",37,390377
2026-01~08-29,2026-01-27,"EMF고덕점","데친 문어",1,19409
2026-01~08-29,2026-01-27,"EM죽전점","갑오징어무침",9,84012
2026-01~08-29,2026-01-27,"EM죽전점","데친 문어",39,399427
2026-01~08-29,2026-01-28,"EM죽전점","갑오징어무침",10,84304
2026-01~08-29,2026-01-28,"EM죽전점","데친 문어",41,390903
2026-01~08-29,2026-01-29,"EM죽전점","갑오징어무침",13,123383
2026-01~08-29,2026-01-29,"EM죽전점","데친 문어",55,489535
2026-01~08-29,2026-01-30,"EMF고덕점","데친 문어",1,14973
2026-01~08-29,2026-01-30,"EM죽전점","갑오징어무침",15,133922
2026-01~08-29,2026-01-30,"EM죽전점","데친 문어",90,825794
2026-01~08-29,2026-01-31,"EMF고덕점","데친 문어",4,102348
2026-01~08-29,2026-01-31,"EM죽전점","갑오징어무침",35,422407
2026-01~08-29,2026-01-31,"EM죽전점","데친 문어",115,1209376
2026-01~08-29,2026-02-01,"EMF고덕점","데친 문어",1,22588
2026-01~08-29,2026-02-01,"EM죽전점","갑오징어무침",26,239154
2026-01~08-29,2026-02-01,"EM죽전점","데친 문어",93,919278
2026-01~08-29,2026-02-02,"EMF고덕점","데친 문어",2,44203
2026-01~08-29,2026-02-03,"EMF고덕점","데친 문어",2,32732
2026-01~08-29,2026-02-05,"EMF고덕점","데친 문어",2,34318
2026-01~08-29,2026-02-05,"EM왕십리점","갑오징어무침",16,134362
2026-01~08-29,2026-02-05,"EM왕십리점","데친 문어",53,537249
2026-01~08-29,2026-02-06,"EM왕십리점","갑오징어무침",20,172343
2026-01~08-29,2026-02-06,"EM왕십리점","데친 문어",94,962700
2026-01~08-29,2026-02-07,"EMF고덕점","데친 문어",5,90997
2026-01~08-29,2026-02-07,"EM왕십리점","갑오징어무침",18,172934
2026-01~08-29,2026-02-07,"EM왕십리점","데친 문어",122,1286643
2026-01~08-29,2026-02-09,"EM왕십리점","갑오징어무침",10,93675
2026-01~08-29,2026-02-09,"EM왕십리점","데친 문어",50,534514
2026-01~08-29,2026-02-10,"EMF고덕점","데친 문어",1,16003
2026-01~08-29,2026-02-10,"EM왕십리점","갑오징어무침",7,67182
2026-01~08-29,2026-02-10,"EM왕십리점","데친 문어",63,550322
2026-01~08-29,2026-02-11,"EMF고덕점","데친 문어",1,23667
2026-01~08-29,2026-02-11,"EM왕십리점","갑오징어무침",23,186613
2026-01~08-29,2026-02-11,"EM왕십리점","데친 문어",61,649274
2026-01~08-29,2026-02-12,"EMF고덕점","데친 문어",1,15255
2026-01~08-29,2026-02-12,"EM왕십리점","갑오징어무침",10,86209
2026-01~08-29,2026-02-12,"EM왕십리점","데친 문어",35,272437
2026-01~08-29,2026-02-13,"EMF고덕점","데친 문어",5,82834
2026-01~08-29,2026-02-13,"EM왕십리점","갑오징어무침",11,92943
2026-01~08-29,2026-02-13,"EM왕십리점","데친 문어",86,715645
2026-01~08-29,2026-02-14,"EMF고덕점","데친 문어",23,396449
2026-01~08-29,2026-02-14,"EM왕십리점","갑오징어무침",17,163640
2026-01~08-29,2026-02-14,"EM왕십리점","데친 문어",138,1160118
2026-01~08-29,2026-02-15,"EMF고덕점","데친 문어",27,576018
2026-01~08-29,2026-02-15,"EM왕십리점","갑오징어무침",15,141097
2026-01~08-29,2026-02-15,"EM왕십리점","데친 문어",136,1104549
2026-01~08-29,2026-02-16,"EMF고덕점","데친 문어",8,178556
2026-01~08-29,2026-02-16,"EM왕십리점","갑오징어무침",12,117823
2026-01~08-29,2026-02-16,"EM왕십리점","데친 문어",146,1284112
2026-01~08-29,2026-02-17,"EMF고덕점","데친 문어",2,39365
2026-01~08-29,2026-02-17,"EM왕십리점","갑오징어무침",12,103407
2026-01~08-29,2026-02-17,"EM왕십리점","데친 문어",85,718487
2026-01~08-29,2026-02-18,"EMF고덕점","데친 문어",19,219601
2026-01~08-29,2026-02-18,"EM왕십리점","갑오징어무침",31,247355
2026-01~08-29,2026-02-18,"EM왕십리점","데친 문어",42,368006
2026-01~08-29,2026-02-19,"EMF고덕점","데친 문어",3,58693
2026-01~08-29,2026-02-19,"EM왕십리점","갑오징어무침",4,37323
2026-01~08-29,2026-02-19,"EM왕십리점","데친 문어",58,451502
2026-01~08-29,2026-02-20,"EMF고덕점","데친 문어",5,98540
2026-01~08-29,2026-02-20,"EM왕십리점","갑오징어무침",14,133104
2026-01~08-29,2026-02-20,"EM왕십리점","데친 문어",95,885637
2026-01~08-29,2026-02-21,"EMF고덕점","데친 문어",5,96295
2026-01~08-29,2026-02-21,"EM왕십리점","갑오징어무침",8,59714
2026-01~08-29,2026-02-21,"EM왕십리점","데친 문어",100,977544
2026-01~08-29,2026-02-23,"EMF고덕점","데친 문어",2,38005
2026-01~08-29,2026-02-24,"EMF고덕점","데친 문어",4,64706
2026-01~08-29,2026-02-25,"EMF고덕점","데친 문어",3,39936
2026-01~08-29,2026-02-26,"EMF고덕점","데친 문어",1,14192
2026-01~08-29,2026-02-26,"EM용산점","갑오징어무침",6,56352
2026-01~08-29,2026-02-26,"EM용산점","데친 문어",87,1076817
2026-01~08-29,2026-02-27,"EMF고덕점","데친 문어",4,59249
2026-01~08-29,2026-02-27,"EM용산점","갑오징어무침",6,57815
2026-01~08-29,2026-02-27,"EM용산점","데친 문어",137,1366771
2026-01~08-29,2026-02-28,"EMF고덕점","데친 문어",6,116572
2026-01~08-29,2026-02-28,"EM용산점","갑오징어무침",19,180027
2026-01~08-29,2026-02-28,"EM용산점","데친 문어",164,1641765
2026-01~08-29,2026-03-01,"EMF고덕점","데친 문어",8,169018
2026-01~08-29,2026-03-01,"EM용산점","갑오징어무침",7,68791
2026-01~08-29,2026-03-01,"EM용산점","데친 문어",173,1666601
2026-01~08-29,2026-03-02,"EMF고덕점","데친 문어",5,75702
2026-01~08-29,2026-03-02,"EM용산점","갑오징어무침",7,68060
2026-01~08-29,2026-03-02,"EM용산점","데친 문어",127,1149720
2026-01~08-29,2026-03-03,"EMF고덕점","데친 문어",3,32554
2026-01~08-29,2026-03-03,"EM용산점","갑오징어무침",7,65865
2026-01~08-29,2026-03-03,"EM용산점","데친 문어",68,592400
2026-01~08-29,2026-03-04,"EM용산점","갑오징어무침",6,57084
2026-01~08-29,2026-03-04,"EM용산점","데친 문어",72,619182
2026-01~08-29,2026-03-05,"EM용산점","갑오징어무침",1,10245
2026-01~08-29,2026-03-05,"EM용산점","데친 문어",98,891135
2026-01~08-29,2026-03-06,"EM용산점","갑오징어무침",8,76109
2026-01~08-29,2026-03-06,"EM용산점","데친 문어",129,1345711
2026-01~08-29,2026-03-07,"EMF고덕점","데친 문어",7,163673
2026-01~08-29,2026-03-07,"EM용산점","갑오징어무침",5,51812
2026-01~08-29,2026-03-07,"EM용산점","데친 문어",211,2206681
2026-01~08-29,2026-03-09,"EMF고덕점","데친 문어",2,43317
2026-01~08-29,2026-03-09,"EM용산점","갑오징어무침",5,51225
2026-01~08-29,2026-03-09,"EM용산점","데친 문어",77,710260
2026-01~08-29,2026-03-11,"EMF고덕점","데친 문어",1,22146
2026-01~08-29,2026-03-11,"EM용산점","갑오징어무침",2,17564
2026-01~08-29,2026-03-11,"EM용산점","데친 문어",74,720252
2026-01~08-29,2026-03-12,"EM용산점","갑오징어무침",6,53423
2026-01~08-29,2026-03-12,"EM용산점","데친 문어",75,781142
2026-01~08-29,2026-03-13,"EMF고덕점","데친 문어",3,59659
2026-01~08-29,2026-03-13,"EM용산점","갑오징어무침",9,83430
2026-01~08-29,2026-03-13,"EM용산점","데친 문어",106,1092942
2026-01~08-29,2026-03-14,"EMF고덕점","데친 문어",4,82311
2026-01~08-29,2026-03-14,"EM용산점","갑오징어무침",3,29273
2026-01~08-29,2026-03-14,"EM용산점","데친 문어",178,1852427
2026-01~08-29,2026-03-15,"EMF고덕점","데친 문어",2,41200
2026-01~08-29,2026-03-15,"EM용산점","갑오징어무침",10,96602
2026-01~08-29,2026-03-15,"EM용산점","데친 문어",148,1430180
2026-01~08-29,2026-03-16,"EM용산점","갑오징어무침",3,28541
2026-01~08-29,2026-03-16,"EM용산점","데친 문어",70,660608
2026-01~08-29,2026-03-17,"EMF고덕점","데친 문어",1,18443
2026-01~08-29,2026-03-17,"EM용산점","갑오징어무침",4,39373
2026-01~08-29,2026-03-17,"EM용산점","데친 문어",50,451462
2026-01~08-29,2026-03-18,"EMF고덕점","데친 문어",3,58234
2026-01~08-29,2026-03-19,"EMF고덕점","데친 문어",1,20648
2026-01~08-29,2026-03-19,"EM은평점","갑오징어무침",8,82547
2026-01~08-29,2026-03-19,"EM은평점","데친 문어",47,443855
2026-01~08-29,2026-03-20,"EMF고덕점","데친 문어",2,41643
2026-01~08-29,2026-03-20,"EM은평점","갑오징어무침",8,80498
2026-01~08-29,2026-03-20,"EM은평점","데친 문어",112,1086856
2026-01~08-29,2026-03-21,"EMF고덕점","데친 문어",2,38383
2026-01~08-29,2026-03-21,"EM은평점","갑오징어무침",5,51225
2026-01~08-29,2026-03-21,"EM은평점","데친 문어",182,1678369
2026-01~08-29,2026-03-23,"EMF고덕점","데친 문어",1,14997
2026-01~08-29,2026-03-23,"EM은평점","데친 문어",68,727060
2026-01~08-29,2026-03-24,"EM은평점","데친 문어",62,614521
2026-01~08-29,2026-03-25,"EMF고덕점","데친 문어",1,15045
2026-01~08-29,2026-03-25,"EM은평점","데친 문어",58,559488
2026-01~08-29,2026-03-26,"EMF고덕점","데친 문어",1,19763
2026-01~08-29,2026-03-26,"EM은평점","데친 문어",62,598844
2026-01~08-29,2026-03-27,"EMF고덕점","데친 문어",2,29567
2026-01~08-29,2026-03-27,"EM은평점","데친 문어",114,1120222
2026-01~08-29,2026-03-28,"EMF고덕점","데친 문어",2,29278
2026-01~08-29,2026-03-28,"EM은평점","데친 문어",167,1715159
2026-01~08-29,2026-03-29,"EMF고덕점","데친 문어",3,47760
2026-01~08-29,2026-03-29,"EM은평점","데친 문어",132,1318253
2026-01~08-29,2026-03-30,"EM은평점","데친 문어",73,651093
2026-01~08-29,2026-03-31,"EM은평점","갑오징어무침",4,30005
2026-01~08-29,2026-03-31,"EM은평점","데친 문어",71,663270
2026-01~08-29,2026-04-01,"EM은평점","갑오징어무침",5,39517
2026-01~08-29,2026-04-01,"EM은평점","데친 문어",62,758152
2026-01~08-29,2026-04-02,"EM은평점","갑오징어무침",5,39517
2026-01~08-29,2026-04-02,"EM은평점","데친 문어",88,837743
2026-01~08-29,2026-04-03,"EM은평점","갑오징어무침",3,27077
2026-01~08-29,2026-04-03,"EM은평점","데친 문어",100,1053117
2026-01~08-29,2026-04-04,"EMF고덕점","데친 문어",4,73206
2026-01~08-29,2026-04-04,"EM은평점","갑오징어무침",5,43910
2026-01~08-29,2026-04-04,"EM은평점","데친 문어",146,1491658
2026-01~08-29,2026-04-05,"EMF고덕점","데친 문어",3,51488
2026-01~08-29,2026-04-05,"EM은평점","갑오징어무침",3,27810
2026-01~08-29,2026-04-05,"EM은평점","데친 문어",141,1404645
2026-01~08-29,2026-04-06,"EMF고덕점","데친 문어",1,18708
2026-01~08-29,2026-04-08,"EMF고덕점","데친 문어",1,14088
2026-01~08-29,2026-04-09,"EM왕십리점","갑오징어무침",4,32932
2026-01~08-29,2026-04-09,"EM왕십리점","데친 문어",88,845527
2026-01~08-29,2026-04-10,"EMF고덕점","데친 문어",1,22146
2026-01~08-29,2026-04-10,"EM왕십리점","갑오징어무침",3,25614
2026-01~08-29,2026-04-10,"EM왕십리점","데친 문어",177,1630195
2026-01~08-29,2026-04-11,"EMF고덕점","데친 문어",4,95795
2026-01~08-29,2026-04-11,"EM왕십리점","갑오징어무침",6,54155
2026-01~08-29,2026-04-11,"EM왕십리점","데친 문어",218,2070330
2026-01~08-29,2026-04-13,"EM왕십리점","갑오징어무침",4,33664
2026-01~08-29,2026-04-13,"EM왕십리점","데친 문어",113,1102232
2026-01~08-29,2026-04-14,"EM왕십리점","갑오징어무침",4,34395
2026-01~08-29,2026-04-14,"EM왕십리점","데친 문어",72,652054
2026-01~08-29,2026-04-15,"EM왕십리점","갑오징어무침",2,16100
2026-01~08-29,2026-04-15,"EM왕십리점","데친 문어",118,1138344
2026-01~08-29,2026-04-16,"EMF고덕점","데친 문어",0,14
2026-01~08-29,2026-04-16,"EM왕십리점","갑오징어무침",4,27
2026-01~08-29,2026-04-16,"EM왕십리점","데친 문어",72,858
2026-01~08-29,2026-04-16,"EM은평점","갑오징어무침",0,21
2026-01~08-29,2026-04-16,"EM은평점","데친 문어",0,537
2026-01~08-29,2026-04-17,"EMF고덕점","데친 문어",2,29205
2026-01~08-29,2026-04-17,"EM왕십리점","갑오징어무침",6,46835
2026-01~08-29,2026-04-17,"EM왕십리점","데친 문어",117,1064452
2026-01~08-29,2026-04-18,"EMF고덕점","데친 문어",4,82022
2026-01~08-29,2026-04-18,"EM왕십리점","갑오징어무침",6,54156
2026-01~08-29,2026-04-18,"EM왕십리점","데친 문어",193,1875924
2026-01~08-29,2026-04-19,"EMF고덕점","데친 문어",3,39671
2026-01~08-29,2026-04-19,"EM왕십리점","갑오징어무침",6,56937
2026-01~08-29,2026-04-19,"EM왕십리점","데친 문어",138,1179553
2026-01~08-29,2026-04-20,"EMF고덕점","데친 문어",1,13146
2026-01~08-29,2026-04-20,"EM왕십리점","갑오징어무침",2,14636
2026-01~08-29,2026-04-20,"EM왕십리점","데친 문어",90,830124
2026-01~08-29,2026-04-21,"EMF고덕점","데친 문어",2,22412
2026-01~08-29,2026-04-21,"EM왕십리점","갑오징어무침",3,21954
2026-01~08-29,2026-04-21,"EM왕십리점","데친 문어",78,719918
2026-01~08-29,2026-04-22,"EM왕십리점","갑오징어무침",2,14636
2026-01~08-29,2026-04-22,"EM왕십리점","데친 문어",95,1009874
2026-01~08-29,2026-04-23,"EMF고덕점","데친 문어",1,11946
2026-01~08-29,2026-04-23,"EM왕십리점","갑오징어무침",4,33517
2026-01~08-29,2026-04-23,"EM왕십리점","데친 문어",59,536400
2026-01~08-29,2026-04-24,"EMF고덕점","데친 문어",3,33915
2026-01~08-29,2026-04-24,"EM왕십리점","갑오징어무침",4,35860
2026-01~08-29,2026-04-24,"EM왕십리점","데친 문어",126,1214376
2026-01~08-29,2026-04-25,"EMF고덕점","데친 문어",7,110213
2026-01~08-29,2026-04-25,"EM왕십리점","갑오징어무침",4,34395
2026-01~08-29,2026-04-25,"EM왕십리점","데친 문어",155,1444019
2026-01~08-29,2026-04-27,"EMF고덕점","데친 문어",1,19320
2026-01~08-29,2026-04-29,"EMF고덕점","데친 문어",2,35356
2026-01~08-29,2026-04-30,"EMF고덕점","데친 문어",3,48969
2026-01~08-29,2026-04-30,"EM자양점","갑오징어무침",4,35859
2026-01~08-29,2026-04-30,"EM자양점","데친 문어",139,1261598
2026-01~08-29,2026-05-01,"EMF고덕점","데친 문어",5,102179
2026-01~08-29,2026-05-01,"EM자양점","갑오징어무침",6,54155
2026-01~08-29,2026-05-01,"EM자양점","데친 문어",185,1879516
2026-01~08-29,2026-05-02,"EMF고덕점","데친 문어",4,71461
2026-01~08-29,2026-05-02,"EM자양점","갑오징어무침",4,36591
2026-01~08-29,2026-05-02,"EM자양점","데친 문어",165,1500080
2026-01~08-29,2026-05-03,"EMF고덕점","데친 문어",8,121039
2026-01~08-29,2026-05-03,"EM자양점","갑오징어무침",2,17564
2026-01~08-29,2026-05-03,"EM자양점","데친 문어",134,1300986
2026-01~08-29,2026-05-04,"EMF고덕점","데친 문어",4,55964
2026-01~08-29,2026-05-04,"EM자양점","갑오징어무침",5,38786
2026-01~08-29,2026-05-04,"EM자양점","데친 문어",96,963523
2026-01~08-29,2026-05-05,"EM자양점","갑오징어무침",10,81964
2026-01~08-29,2026-05-05,"EM자양점","데친 문어",95,869434
2026-01~08-29,2026-05-06,"EM자양점","갑오징어무침",6,52692
2026-01~08-29,2026-05-06,"EM자양점","데친 문어",86,832371
2026-01~08-29,2026-05-07,"EM자양점","갑오징어무침",7,60596
2026-01~08-29,2026-05-07,"EM자양점","데친 문어",97,1089288
2026-01~08-29,2026-05-08,"EMF고덕점","데친 문어",2,22016
2026-01~08-29,2026-05-08,"EM자양점","갑오징어무침",12,104505
2026-01~08-29,2026-05-08,"EM자양점","데친 문어",144,1453372
2026-01~08-29,2026-05-09,"EMF고덕점","데친 문어",8,108731
2026-01~08-29,2026-05-09,"EM자양점","갑오징어무침",14,128657
2026-01~08-29,2026-05-09,"EM자양점","데친 문어",218,2175729
2026-01~08-29,2026-05-11,"EMF고덕점","데친 문어",1,13709
2026-01~08-29,2026-05-11,"EM자양점","갑오징어무침",5,37322
2026-01~08-29,2026-05-11,"EM자양점","데친 문어",100,999256
2026-01~08-29,2026-05-12,"EM자양점","갑오징어무침",8,70256
2026-01~08-29,2026-05-12,"EM자양점","데친 문어",77,708848
2026-01~08-29,2026-05-13,"EMF고덕점","데친 문어",1,13387
2026-01~08-29,2026-05-13,"EM자양점","갑오징어무침",7,61474
2026-01~08-29,2026-05-13,"EM자양점","데친 문어",100,1069845
2026-01~08-29,2026-05-14,"EMF고덕점","데친 문어",1,19087
2026-01~08-29,2026-05-14,"EM자양점","갑오징어무침",6,58545
2026-01~08-29,2026-05-14,"EM자양점","데친 문어",77,776918
2026-01~08-29,2026-05-15,"EMF고덕점","데친 문어",2,27064
2026-01~08-29,2026-05-15,"EM자양점","갑오징어무침",10,86209
2026-01~08-29,2026-05-15,"EM자양점","데친 문어",129,1279573
2026-01~08-29,2026-05-16,"EMF고덕점","데친 문어",4,71018
2026-01~08-29,2026-05-16,"EM자양점","갑오징어무침",9,83282
